"train/global_step","gpt2_aux-without_ln - _step","gpt2_aux-without_ln - _step__MIN","gpt2_aux-without_ln - _step__MAX","gpt2_aux-without_ln - main_loss","gpt2_aux-without_ln - main_loss__MIN","gpt2_aux-without_ln - main_loss__MAX"
"0","37.5","30","45","3.3685208559036255","3.2120816707611084","3.4875807762145996"
"1","84.5","77","92","3.371757373213768","3.2223458290100098","3.4443325996398926"
"2","131.5","124","139","3.403623506426811","3.214329957962036","3.4845995903015137"
"3","178.5","171","186","3.4168727099895477","3.361035108566284","3.5105342864990234"
"4","225.5","218","233","3.4326546788215637","3.351844072341919","3.5267932415008545"
"5","272.5","265","280","3.4633895456790924","3.3061656951904297","3.590603828430176"
"6","319.5","312","327","3.4591196179389954","3.3588547706604004","3.6022756099700928"
"7","366.5","359","374","3.45196832716465","3.3589394092559814","3.5436975955963135"
"8","413.5","406","421","3.443061336874962","3.3122191429138184","3.551694631576538"
"9","460.5","453","468","3.4798044860363007","3.381272554397583","3.5907092094421387"
"10","507.5","500","515","3.432888939976692","3.3470542430877686","3.5193846225738525"
"11","554.5","547","562","3.3584107756614685","3.221595287322998","3.465733766555786"
"12","601.5","594","609","3.4118066877126694","3.260655164718628","3.5820553302764893"
"13","648.5","641","656","3.4114612489938736","3.317596673965454","3.517244577407837"
"14","695.5","688","703","3.37418133020401","3.210983991622925","3.5226032733917236"
"15","742.5","735","750","3.3495254069566727","3.153113603591919","3.5238349437713623"
"16","789.5","782","797","3.350892812013626","3.2581560611724854","3.4858016967773438"
"17","836.5","829","844","3.253033548593521","3.1765549182891846","3.3859546184539795"
"18","883.5","876","891","3.32393179833889","3.2667438983917236","3.420671224594116"
"19","930.5","923","938","3.3210238963365555","3.1816043853759766","3.5198018550872803"
"20","978.5","971","986","3.303107738494873","3.128523588180542","3.4079532623291016"
"21","1025.5","1018","1033","3.3174950778484344","3.2244060039520264","3.500671625137329"
"22","1073.5","1066","1081","3.3846990019083023","3.227963447570801","3.5804946422576904"
"23","1120.5","1113","1128","3.3164656907320023","3.242830753326416","3.425894260406494"
"24","1168.5","1161","1176","3.42119599878788","3.266965627670288","3.6108243465423584"
"25","1215.5","1208","1223","3.476222485303879","3.377340793609619","3.6096818447113037"
"26","1263.5","1256","1271","4.2207909524440765","3.951791763305664","4.4956254959106445"
"27","1310.5","1303","1318","3.7006646245718002","3.5684943199157715","3.801302194595337"
"28","1358.5","1351","1366","3.7261498272418976","3.5017521381378174","3.875746488571167"
"29","1405.5","1398","1413","4.149971917271614","3.943373441696167","4.3067498207092285"
"30","1453.5","1446","1461","4.375322759151459","4.2276811599731445","4.559024810791016"
"31","1500.5","1493","1508","3.942748859524727","3.804661750793457","4.10426139831543"
"32","1548.5","1541","1556","3.8101277500391006","3.716721296310425","3.977623224258423"
"33","1595.5","1588","1603","3.690320134162903","3.5781941413879395","3.7761874198913574"
"34","1643.5","1636","1651","3.6581804305315018","3.526254892349243","3.750760316848755"
"35","1690.5","1683","1698","3.5927817076444626","3.484466791152954","3.6970937252044678"
"36","1738.5","1731","1746","3.5876126289367676","3.5236189365386963","3.7053451538085938"
"37","1785.5","1778","1793","3.5531858801841736","3.4415407180786133","3.681917190551758"
"38","1833.5","1826","1841","3.4921241998672485","3.365699529647827","3.6076624393463135"
"39","1880.5","1873","1888","3.4756138026714325","3.3844351768493652","3.5697731971740723"
"40","1928.5","1921","1936","3.4971227943897247","3.4035627841949463","3.671116590499878"
"41","1975.5","1968","1983","3.479641869664192","3.3351616859436035","3.659996747970581"
"42","2023.5","2016","2031","3.4349274784326553","3.162889003753662","3.585982322692871"
"43","2070.5","2063","2078","3.4305386543273926","3.267547607421875","3.590209484100342"
"44","2118.5","2111","2126","3.436035692691803","3.3162434101104736","3.572319269180298"
